"Code","Birthplace","Census_night_population_count","Census_usually_resident_population_count"
"0001","At sea",15,15
"1000","Oceania and Antarctica (not further defined)",0,0
"1101","Australia",83622,75696
"1102","Norfolk Island",114,108
"1199","Australian External Territories nec",0,0
"1201","New Zealand",3378357,3370122
"1300","Melanesia (not further defined)",0,0
"1301","New Caledonia",381,318
"1302","Papua New Guinea",1587,1482
"1303","Solomon Islands",1059,741
"1304","Vanuatu",2274,1206
"1401","Guam",54,51
"1402","Kiribati",2262,2196
"1403","Marshall Islands",21,21
"1404","Micronesia, Federated States of",21,21
"1405","Nauru",315,312
"1406","Northern Mariana Islands",21,21
"1407","Palau",12,12
"1500","Polynesia (excludes Hawaii) (not further defined)",0,0
"1501","Cook Islands",12069,11925
"1502","Fiji",63015,62310
"1503","French Polynesia",609,474
"1504","Niue",4008,3972
"1505","Samoa",56814,55512
"1506","Samoa, American",882,861
"1507","Tokelau",1263,1251
"1508","Tonga",27777,26856
"1511","Tuvalu",1866,1854
"1512","Wallis and Futuna",21,18
"1513","Pitcairn Island",48,48
"1599","Polynesia (excludes Hawaii) nec",0,0
"1601","Antarctica",0,0
"2000","North-West Europe (not further defined)",0,0
"2100","United Kingdom (not further defined)",15144,14601
"2101","Channel Islands",1053,1008
"2102","England",223893,210915
"2103","Isle of Man",330,306
"2104","Northern Ireland",5043,4806
"2105","Scotland",27387,26136
"2106","Wales",8289,7776
"2201","Ireland",11139,10494
"2300","Western Europe (not further defined)",0,0
"2301","Austria",1869,1491
"2302","Belgium",1692,1257
"2303","France",10302,7593
"2304","Germany",24339,16605
"2305","Liechtenstein",6,6
"2306","Luxembourg",93,66
"2307","Monaco",21,18
"2308","Netherlands",21333,19329
"2311","Switzerland",4239,3291
"2400","Northern Europe (not further defined)",0,0
"2401","Denmark",2214,1563
"2402","Faeroe Islands",15,15
"2403","Finland",888,702
"2404","Greenland",12,12
"2405","Iceland",144,120
"2406","Norway",777,567
"2407","Sweden",2499,1839
"3000","Southern and Eastern Europe (not further defined)",0,0
"3100","Southern Europe (not further defined)",0,0
"3101","Andorra",6,6
"3102","Gibraltar",81,81
"3103","Vatican City State",0,0
"3104","Italy",3714,3219
"3105","Malta",447,396
"3106","Portugal",507,447
"3107","San Marino",3,3
"3108","Spain",1800,1500
"3200","South Eastern Europe (not further defined)",726,714
"3201","Albania",132,123
"3202","Bosnia and Herzegovina",414,396
"3203","Bulgaria",888,849
"3204","Croatia",1818,1767
"3205","Cyprus",408,384
"3206","North Macedonia",843,822
"3207","Greece",1008,960
"3208","Moldova",159,156
"3211","Romania",2448,2340
"3212","Slovenia",369,330
"3214","Montenegro",48,48
"3215","Serbia",1203,1170
"3216","Kosovo",255,249
"3300","Eastern Europe (not further defined)",165,147
"3301","Belarus",354,333
"3302","Czechia",2703,2361
"3303","Estonia",279,246
"3304","Hungary",1734,1626
"3305","Latvia",405,375
"3306","Lithuania",351,300
"3307","Poland",2685,2442
"3308","Russia",7998,7776
"3311","Slovakia",627,558
"3312","Ukraine",2010,1941
"4000","North Africa and the Middle East (not further defined)",0,0
"4100","North Africa (not further defined)",3,3
"4101","Algeria",165,153
"4102","Egypt",1740,1713
"4103","Libya",174,168
"4104","Morocco",222,204
"4105","Sudan",549,543
"4106","Tunisia",84,81
"4107","Western Sahara",3,3
"4108","Spanish North Africa",3,3
"4111","South Sudan",81,81
"4200","Middle East (not further defined)",138,135
"4201","Bahrain",354,345
"4202","Gaza Strip/Palestine/West Bank",246,234
"4203","Iran",4659,4563
"4204","Iraq",5784,5757
"4205","Israel",1335,1095
"4206","Jordan",756,744
"4207","Kuwait",768,759
"4208","Lebanon",573,561
"4211","Oman",426,402
"4212","Qatar",222,213
"4213","Saudi Arabia",1935,1848
"4214","Syria",1338,1329
"4215","Turkey",1161,1134
"4216","United Arab Emirates",1650,1626
"4217","Yemen",147,144
"5000","South-East Asia (not further defined)",3,3
"5100","Mainland South-East Asia (not further defined)",0,0
"5101","Myanmar",2988,2946
"5102","Cambodia",7776,7689
"5103","Laos",981,948
"5104","Thailand",10986,10251
"5105","Viet Nam",9552,9291
"5200","Maritime South-East Asia (not further defined)",24,24
"5201","Brunei Darussalam",402,399
"5202","Indonesia",7335,6627
"5203","Malaysia",20901,19860
"5204","Philippines",69036,67632
"5205","Singapore",7122,6741
"5206","Timor-Leste",84,81
"6100","North-East Asia (not further defined)",0,0
"6101","China, People's Republic of",141387,132906
"6102","Hong Kong (Special Administrative Region)",11505,10992
"6103","Japan",15579,13107
"6104","Korea, Democratic People's Republic of",18,15
"6105","Korea, Republic of",31884,30975
"6106","Macau (Special Administrative Region)",321,306
"6107","Mongolia",117,105
"6108","Taiwan",11151,10440
"7000","Southern and Central Asia (not further defined)",0,0
"7100","Southern Asia (not further defined)",0,0
"7101","Bangladesh",2601,2559
"7102","Bhutan",714,714
"7103","India",120111,117348
"7104","Maldives",120,120
"7105","Nepal",3741,3681
"7106","Pakistan",5784,5691
"7107","Sri Lanka",14625,14349
"7200","Central Asia (not further defined)",0,0
"7201","Afghanistan",3753,3744
"7202","Armenia",78,78
"7203","Azerbaijan",93,90
"7204","Georgia",93,93
"7205","Kazakhstan",675,648
"7206","Kyrgyzstan",108,105
"7207","Tajikistan",45,42
"7208","Turkmenistan",21,21
"7211","Uzbekistan",294,285
"8000","The Americas (not further defined)",0,0
"8100","Northern America (not further defined)",3,0
"8101","Bermuda",243,240
"8102","Canada",14682,11928
"8103","St Pierre and Miquelon",0,0
"8104","United States of America",35286,27678
"8200","South America (not further defined)",21,18
"8201","Argentina",4056,3447
"8202","Bolivia",195,186
"8203","Brazil",8157,7719
"8204","Chile",4179,3936
"8205","Colombia",2709,2583
"8206","Ecuador",270,258
"8207","Falkland Islands",135,135
"8208","French Guiana",6,3
"8211","Guyana",117,108
"8212","Paraguay",60,54
"8213","Peru",981,933
"8214","Suriname",33,24
"8215","Uruguay",906,849
"8216","Venezuela",435,423
"8299","South America nec",3,3
"8300","Central America (not further defined)",3,3
"8301","Belize",18,15
"8302","Costa Rica",90,81
"8303","El Salvador",105,102
"8304","Guatemala",90,90
"8305","Honduras",54,48
"8306","Mexico",1539,1413
"8307","Nicaragua",30,30
"8308","Panama",54,51
"8400","Caribbean (not further defined)",30,30
"8401","Anguilla",0,0
"8402","Antigua and Barbuda",6,6
"8403","Aruba",15,15
"8404","Bahamas",51,51
"8405","Barbados",183,177
"8406","Cayman Islands",57,51
"8407","Cuba",84,81
"8408","Dominica",12,9
"8411","Dominican Republic",45,45
"8412","Grenada",12,9
"8413","Guadeloupe",12,9
"8414","Haiti",21,15
"8415","Jamaica",276,258
"8416","Martinique",15,12
"8417","Montserrat",3,3
"8421","Puerto Rico",39,36
"8422","St Kitts and Nevis",6,6
"8423","St Lucia",24,21
"8424","St Vincent and the Grenadines",24,24
"8425","Trinidad and Tobago",240,222
"8426","Turks and Caicos Islands",3,3
"8427","Virgin Islands, British",12,12
"8428","Virgin Islands, United States",6,6
"8433","Curacao",48,42
"8434","St Maarten (Dutch Part)",9,6
"9000","Sub-Saharan Africa (not further defined)",0,0
"9100","Central and West Africa (not further defined)",12,12
"9101","Benin",6,6
"9102","Burkina Faso",3,3
"9103","Cameroon",60,54
"9104","Cabo Verde",6,6
"9105","Central African Republic",3,3
"9106","Chad",9,9
"9107","Congo",189,180
"9108","Congo, the Democratic Republic of the",177,174
"9111","Cï¿½te d'Ivoire",15,15
"9112","Equatorial Guinea",3,3
"9113","Gabon",18,18
"9114","Gambia",15,12
"9115","Ghana",441,432
"9116","Guinea",0,0
"9117","Guinea-Bissau",3,3
"9118","Liberia",42,42
"9121","Mali",12,9
"9122","Mauritania",6,6
"9123","Niger",6,6
"9124","Nigeria",996,987
"9125","Sao Tome and Principe",0,0
"9126","Senegal",33,24
"9127","Sierra Leone",51,51
"9128","Togo",18,15
"9200","Southern and East Africa (not further defined)",54,54
"9201","Angola",36,30
"9202","Botswana",201,201
"9203","Burundi",129,126
"9204","Comoros",3,3
"9205","Djibouti",24,24
"9206","Eritrea",279,279
"9207","Ethiopia",1491,1479
"9208","Kenya",1917,1869
"9211","Lesotho",30,27
"9212","Madagascar",45,36
"9213","Malawi",249,240
"9214","Mauritius",666,639
"9215","Mayotte",0,0
"9216","Mozambique",117,120
"9217","Namibia",540,534
"9218","Reunion",30,27
"9221","Rwanda",108,108
"9222","St Helena",18,18
"9223","Seychelles",105,96
"9224","Somalia",1143,1134
"9225","South Africa",72402,71382
"9226","Eswatini",96,87
"9227","Tanzania",477,462
"9228","Uganda",417,393
"9231","Zambia",1563,1536
"9232","Zimbabwe",8817,8685
"9299","Southern and East Africa nec",0,0
"0000","Inadequately described",921,432
"9999","Not stated",59376,57426
"TotalStated","Total stated",4733061,4641897
"Total","Total",4793358,4699755