"Code","Hours_worked_in_employment_per_week","Employed_census_usually_resident_population_count_aged_15_years_and_over"
"001","1 hour worked",4896
"002","2 hours worked",10323
"003","3 hours worked",9528
"004","4 hours worked",14496
"005","5 hours worked",18810
"006","6 hours worked",16635
"007","7 hours worked",9750
"008","8 hours worked",41112
"009","9 hours worked",11235
"010","10 hours worked",47463
"011","11 hours worked",5640
"012","12 hours worked",24171
"013","13 hours worked",6300
"014","14 hours worked",8940
"015","15 hours worked",39756
"016","16 hours worked",23085
"017","17 hours worked",6348
"018","18 hours worked",13290
"019","19 hours worked",4050
"020","20 hours worked",103674
"021","21 hours worked",6933
"022","22 hours worked",10149
"023","23 hours worked",6567
"024","24 hours worked",28608
"025","25 hours worked",47868
"026","26 hours worked",7902
"027","27 hours worked",8568
"028","28 hours worked",13947
"029","29 hours worked",3714
"030","30 hours worked",114084
"031","31 hours worked",4113
"032","32 hours worked",46818
"033","33 hours worked",6729
"034","34 hours worked",7749
"035","35 hours worked",62154
"036","36 hours worked",19851
"037","37 hours worked",26994
"038","38 hours worked",52641
"039","39 hours worked",5436
"040","40 hours worked",799950
"041","41 hours worked",8328
"042","42 hours worked",42465
"043","43 hours worked",19224
"044","44 hours worked",22428
"045","45 hours worked",176025
"046","46 hours worked",10878
"047","47 hours worked",9477
"048","48 hours worked",31320
"049","49 hours worked",3507
"050","50 hours worked",196086
"051","51 hours worked",2427
"052","52 hours worked",7545
"053","53 hours worked",2997
"054","54 hours worked",4185
"055","55 hours worked",43641
"056","56 hours worked",5502
"057","57 hours worked",1941
"058","58 hours worked",2766
"059","59 hours worked",606
"060","60 hours worked",82440
"061","61 hours worked",666
"062","62 hours worked",1587
"063","63 hours worked",1221
"064","64 hours worked",1437
"065","65 hours worked",12924
"066","66 hours worked",1044
"067","67 hours worked",528
"068","68 hours worked",984
"069","69 hours worked",279
"070","70 hours worked",21279
"071","71 hours worked",186
"072","72 hours worked",1959
"073","73 hours worked",225
"074","74 hours worked",417
"075","75 hours worked",2568
"076","76 hours worked",633
"077","77 hours worked",423
"078","78 hours worked",351
"079","79 hours worked",99
"080","80 hours worked",9138
"081","81 hours worked",135
"082","82 hours worked",333
"083","83 hours worked",150
"084","84 hours worked",2100
"085","85 hours worked",966
"086","86 hours worked",195
"087","87 hours worked",111
"088","88 hours worked",300
"089","89 hours worked",99
"090","90 hours worked",2730
"091","91 hours worked",153
"092","92 hours worked",180
"093","93 hours worked",78
"094","94 hours worked",135
"095","95 hours worked",519
"096","96 hours worked",225
"097","97 hours worked",54
"098","98 hours worked",423
"099","99 hours worked",78
"100","100 hours worked",1344
"101","101 hours worked",18
"102","102 hours worked",72
"103","103 hours worked",27
"104","104 hours worked",48
"105","105 hours worked",291
"106","106 hours worked",24
"107","107 hours worked",27
"108","108 hours worked",51
"109","109 hours worked",21
"110","110 hours worked",273
"111","111 hours worked",90
"112","112 hours worked",153
"113","113 hours worked",6
"114","114 hours worked",33
"115","115 hours worked",93
"116","116 hours worked",42
"117","117 hours worked",18
"118","118 hours worked",18
"119","119 hours worked",42
"120","120 hours worked",276
"121","121 hours worked",21
"122","122 hours worked",27
"123","123 hours worked",9
"124","124 hours worked",33
"125","125 hours worked",66
"126","126 hours worked",48
"127","127 hours worked",9
"128","128 hours worked",27
"129","129 hours worked",15
"130","130 hours worked",99
"131","131 hours worked",9
"132","132 hours worked",15
"133","133 hours worked",12
"134","134 hours worked",0
"135","135 hours worked",45
"136","136 hours worked",6
"137","137 hours worked",6
"138","138 hours worked",9
"139","139 hours worked",3
"140","140 hours worked",132
"141","141 hours worked",3
"142","142 hours worked",12
"143","143 hours worked",3
"144","144 hours worked",33
"145","145 hours worked",21
"146","146 hours worked",6
"147","147 hours worked",6
"148","148 hours worked",18
"149","149 hours worked",6
"150","150 hours worked",66
"151","151 hours worked",9
"152","152 hours worked",6
"153","153 hours worked",6
"154","154 hours worked",21
"155","155 hours worked",9
"156","156 hours worked",6
"157","157 hours worked",15
"158","158 hours worked",3
"159","159 hours worked",0
"160","160 hours worked",39
"161","161 hours worked",3
"162","162 hours worked",6
"163","163 hours worked",6
"164","164 hours worked",15
"165","165 hours worked",9
"166","166 hours worked",3
"167","167 hours worked",3
"168","168 hours worked",273
"777","Response unidentifiable",0
"999","Not stated",0
"TotalStated","Total stated",2445141
"Total","Total",2445141