"Code","Hours_worked_per_week_in_other_jobs","Employed_census_usually_resident_population_count_aged_15_years_and_over"
"001","1 hour worked",11007
"002","2 hours worked",15264
"003","3 hours worked",8436
"004","4 hours worked",10017
"005","5 hours worked",20844
"006","6 hours worked",7185
"007","7 hours worked",3024
"008","8 hours worked",11172
"009","9 hours worked",1734
"010","10 hours worked",27204
"011","11 hours worked",807
"012","12 hours worked",4782
"013","13 hours worked",726
"014","14 hours worked",1395
"015","15 hours worked",9672
"016","16 hours worked",3588
"017","17 hours worked",570
"018","18 hours worked",1164
"019","19 hours worked",294
"020","20 hours worked",14157
"021","21 hours worked",303
"022","22 hours worked",357
"023","23 hours worked",177
"024","24 hours worked",990
"025","25 hours worked",2172
"026","26 hours worked",147
"027","27 hours worked",126
"028","28 hours worked",225
"029","29 hours worked",48
"030","30 hours worked",3018
"031","31 hours worked",36
"032","32 hours worked",366
"033","33 hours worked",48
"034","34 hours worked",69
"035","35 hours worked",759
"036","36 hours worked",168
"037","37 hours worked",168
"038","38 hours worked",390
"039","39 hours worked",21
"040","40 hours worked",1131
"041","41 hours worked",12
"042","42 hours worked",48
"043","43 hours worked",18
"044","44 hours worked",33
"045","45 hours worked",237
"046","46 hours worked",15
"047","47 hours worked",12
"048","48 hours worked",45
"049","49 hours worked",6
"050","50 hours worked",240
"051","51 hours worked",3
"052","52 hours worked",9
"053","53 hours worked",3
"054","54 hours worked",3
"055","55 hours worked",42
"056","56 hours worked",9
"057","57 hours worked",6
"058","58 hours worked",3
"059","59 hours worked",0
"060","60 hours worked",102
"061","61 hours worked",0
"062","62 hours worked",3
"063","63 hours worked",0
"064","64 hours worked",6
"065","65 hours worked",9
"066","66 hours worked",3
"067","67 hours worked",0
"068","68 hours worked",0
"069","69 hours worked",0
"070","70 hours worked",24
"071","71 hours worked",0
"072","72 hours worked",3
"073","73 hours worked",0
"074","74 hours worked",3
"075","75 hours worked",0
"076","76 hours worked",0
"077","77 hours worked",3
"078","78 hours worked",0
"079","79 hours worked",0
"080","80 hours worked",3
"081","81 hours worked",0
"082","82 hours worked",0
"083","83 hours worked",0
"084","84 hours worked",0
"085","85 hours worked",0
"086","86 hours worked",0
"087","87 hours worked",0
"088","88 hours worked",0
"089","89 hours worked",0
"090","90 hours worked",0
"091","91 hours worked",0
"092","92 hours worked",0
"093","93 hours worked",0
"094","94 hours worked",0
"095","95 hours worked",0
"096","96 hours worked",0
"097","97 hours worked",0
"098","98 hours worked",0
"099","99 hours worked",0
"100","100 hours worked",0
"101","101 hours worked",0
"102","102 hours worked",0
"103","103 hours worked",0
"104","104 hours worked",0
"105","105 hours worked",0
"106","106 hours worked",0
"107","107 hours worked",0
"108","108 hours worked",0
"109","109 hours worked",0
"110","110 hours worked",0
"111","111 hours worked",0
"112","112 hours worked",0
"113","113 hours worked",0
"114","114 hours worked",0
"115","115 hours worked",0
"116","116 hours worked",0
"117","117 hours worked",0
"118","118 hours worked",0
"119","119 hours worked",0
"120","120 hours worked",0
"121","121 hours worked",0
"122","122 hours worked",0
"123","123 hours worked",0
"124","124 hours worked",0
"125","125 hours worked",0
"126","126 hours worked",0
"127","127 hours worked",0
"128","128 hours worked",0
"129","129 hours worked",0
"130","130 hours worked",0
"131","131 hours worked",0
"132","132 hours worked",0
"133","133 hours worked",0
"134","134 hours worked",0
"135","135 hours worked",0
"136","136 hours worked",0
"137","137 hours worked",0
"138","138 hours worked",0
"139","139 hours worked",0
"140","140 hours worked",0
"141","141 hours worked",0
"142","142 hours worked",0
"143","143 hours worked",0
"144","144 hours worked",0
"145","145 hours worked",0
"146","146 hours worked",0
"147","147 hours worked",0
"148","148 hours worked",0
"149","149 hours worked",0
"150","150 hours worked",0
"151","151 hours worked",0
"152","152 hours worked",0
"153","153 hours worked",0
"154","154 hours worked",0
"155","155 hours worked",0
"156","156 hours worked",0
"157","157 hours worked",0
"158","158 hours worked",0
"159","159 hours worked",0
"160","160 hours worked",0
"161","161 hours worked",0
"162","162 hours worked",0
"163","163 hours worked",0
"164","164 hours worked",0
"165","165 hours worked",0
"166","166 hours worked",0
"167","167 hours worked",0
"168","168 hours worked",0
"777","Response unidentifiable",0
"999","Not stated",2280474
"TotalStated","Total stated",2445141
"Total","Total",2445141