"Code","Number_of_census_night_occupants","Occupied_dwellings"
"0000","No occupants",61200
"0001","1 occupant",405726
"0002","2 occupants",519561
"0003","3 occupants",258909
"0004","4 occupants",238719
"0005","5 occupants",108291
"0006","6 occupants",44703
"0007","7 occupants",17610
"0008","8 occupants",8286
"0009","9 occupants",3525
"0010","10 occupants",1842
"0011","11 occupants",984
"0012","12 occupants",576
"0013","13 occupants",408
"0014","14 occupants",285
"0015","15 occupants",222
"0016","16 occupants",171
"0017","17 occupants",159
"0018","18 occupants",123
"0019","19 occupants",132
"0020","20 occupants",111
"0021","21 occupants",93
"0022","22 occupants",108
"0023","23 occupants",78
"0024","24 occupants",78
"0025","25 occupants",69
"0026","26 occupants",75
"0027","27 occupants",54
"0028","28 occupants",57
"0029","29 occupants",48
"0030","30 occupants",63
"0031","31 occupants",60
"0032","32 occupants",51
"0033","33 occupants",54
"0034","34 occupants",42
"0035","35 occupants",54
"0036","36 occupants",36
"0037","37 occupants",39
"0038","38 occupants",33
"0039","39 occupants",30
"0040","40 occupants",33
"0041","41 occupants",39
"0042","42 occupants",30
"0043","43 occupants",30
"0044","44 occupants",24
"0045","45 occupants",33
"0046","46 occupants",30
"0047","47 occupants",30
"0048","48 occupants",33
"0049","49 occupants",15
"0050","50 occupants",24
"0051","51 occupants",24
"0052","52 occupants",18
"0053","53 occupants",12
"0054","54 occupants",21
"0055","55 occupants",21
"0056","56 occupants",15
"0057","57 occupants",21
"0058","58 occupants",18
"0059","59 occupants",15
"0060","60 occupants",21
"0061","61 occupants",15
"0062","62 occupants",24
"0063","63 occupants",12
"0064","64 occupants",21
"0065","65 occupants",18
"0066","66 occupants",18
"0067","67 occupants",12
"0068","68 occupants",9
"0069","69 occupants",9
"0070","70 occupants",12
"0071","71 occupants",12
"0072","72 occupants",6
"0073","73 occupants",9
"0074","74 occupants",12
"0075","75 occupants",3
"0076","76 occupants",15
"0077","77 occupants",9
"0078","78 occupants",3
"0079","79 occupants",9
"0080","80 occupants",12
"0081","81 occupants",12
"0082","82 occupants",12
"0083","83 occupants",9
"0084","84 occupants",9
"0085","85 occupants",3
"0086","86 occupants",9
"0087","87 occupants",12
"0088","88 occupants",6
"0089","89 occupants",3
"0090","90 occupants",6
"0091","91 occupants",6
"0092","92 occupants",3
"0093","93 occupants",6
"0094","94 occupants",6
"0095","95 occupants",6
"0096","96 occupants",6
"0097","97 occupants",6
"0098","98 occupants",6
"0099","99 occupants",6
"0100","100 occupants",3
"0101","101 occupants",6
"0102","102 occupants",6
"0103","103 occupants",3
"0104","104 occupants",3
"0105","105 occupants",6
"0106","106 occupants",6
"0107","107 occupants",6
"0108","108 occupants",6
"0109","109 occupants",3
"0110","110 occupants",3
"0111","111 occupants",3
"0112","112 occupants",3
"0113","113 occupants",6
"0114","114 occupants",3
"0115","115 occupants",3
"0116","116 occupants",3
"0117","117 occupants",3
"0118","118 occupants",3
"0119","119 occupants",3
"0120","120 occupants",3
"0121","121 occupants",3
"0122","122 occupants",3
"0123","123 occupants",6
"0124","124 occupants",3
"0125","125 occupants",3
"0126","126 occupants",6
"0127","127 occupants",6
"0128","128 occupants",6
"0129","129 occupants",0
"0130","130 occupants",3
"0131","131 occupants",0
"0132","132 occupants",3
"0133","133 occupants",0
"0134","134 occupants",3
"0135","135 occupants",3
"0136","136 occupants",0
"0137","137 occupants",6
"0138","138 occupants",3
"0139","139 occupants",6
"0140","140 occupants",3
"0141","141 occupants",3
"0142","142 occupants",3
"0143","143 occupants",3
"0144","144 occupants",3
"0145","145 occupants",0
"0146","146 occupants",3
"0147","147 occupants",3
"0148","148 occupants",6
"0149","149 occupants",3
"0150","150 occupants",0
"0151","151 occupants",3
"0152","152 occupants",0
"0153","153 occupants",0
"0154","154 occupants",0
"0155","155 occupants",3
"0156","156 occupants",3
"0157","157 occupants",0
"0158","158 occupants",0
"0159","159 occupants",3
"0160","160 occupants",3
"0161","161 occupants",3
"0162","162 occupants",3
"0163","163 occupants",3
"0164","164 occupants",6
"0165","165 occupants",0
"0166","166 occupants",3
"0167","167 occupants",3
"0168","168 occupants",0
"0169","169 occupants",0
"0170","170 occupants",0
"0171","171 occupants",0
"0172","172 occupants",3
"0173","173 occupants",0
"0174","174 occupants",3
"0175","175 occupants",0
"0176","176 occupants",3
"0177","177 occupants",3
"0178","178 occupants",3
"0179","179 occupants",0
"0180","180 occupants",0
"0181","181 occupants",0
"0182","182 occupants",0
"0183","183 occupants",3
"0184","184 occupants",3
"0185","185 occupants",0
"0186","186 occupants",0
"0187","187 occupants",3
"0188","188 occupants",0
"0189","189 occupants",0
"0190","190 occupants",3
"0191","191 occupants",0
"0192","192 occupants",3
"0193","193 occupants",3
"0194","194 occupants",3
"0195","195 occupants",3
"0196","196 occupants",0
"0197","197 occupants",0
"0198","198 occupants",0
"0199","199 occupants",3
"0200","200 or more occupants",96
"Total","Total",1673880